,Speed(RPM),Torque(kg.cm),Coil Dia,Coil R,Coil Turn,Core Thick,Core Dia,Poles,Motor_name_idx,label
296,1633.0,11.9,0.4,36.6,300.0,32.5,104.0,8.0,24.0,D
297,1633.0,11.9,0.4,36.6,300.0,32.5,104.0,8.0,14.0,D
298,1235.0,12.0,0.52,18.85,218.0,42.0,107.0,10.0,52.0,D
299,1235.0,12.0,0.52,18.85,218.0,42.0,107.0,10.0,34.0,D
300,1621.0,12.0,0.4,36.6,300.0,32.5,104.0,8.0,24.0,D
301,1621.0,12.0,0.4,36.6,300.0,32.5,104.0,8.0,14.0,D
302,1425.0,12.0,0.35,38.0,340.0,21.0,104.0,8.0,0.0,D
303,1358.0,12.4,0.35,38.0,340.0,21.0,104.0,8.0,0.0,D
304,1574.0,12.5,0.37,34.2,320.0,21.0,104.0,8.0,47.0,D
305,1522.0,13.0,0.37,34.2,320.0,21.0,104.0,8.0,47.0,D
306,1530.0,13.0,0.4,36.6,300.0,32.5,104.0,8.0,24.0,D
307,1530.0,13.0,0.4,36.6,300.0,32.5,104.0,8.0,14.0,D
308,1205.0,14.0,0.52,18.85,218.0,42.0,107.0,10.0,52.0,D
309,1205.0,14.0,0.52,18.85,218.0,42.0,107.0,10.0,34.0,D
310,1175.0,16.0,0.52,18.85,218.0,42.0,107.0,10.0,52.0,D
311,1175.0,16.0,0.52,18.85,218.0,42.0,107.0,10.0,34.0,D
312,1150.0,18.0,0.52,18.85,218.0,42.0,107.0,10.0,52.0,D
313,1150.0,18.0,0.52,18.85,218.0,42.0,107.0,10.0,34.0,D
314,1095.0,22.0,0.52,18.85,218.0,42.0,107.0,10.0,52.0,D
315,1095.0,22.0,0.52,18.85,218.0,42.0,107.0,10.0,34.0,D
316,1050.0,26.0,0.52,18.85,218.0,42.0,107.0,10.0,52.0,D
317,1050.0,26.0,0.52,18.85,218.0,42.0,107.0,10.0,34.0,D
318,1025.0,27.7,0.52,18.85,218.0,42.0,107.0,10.0,52.0,D
319,1025.0,27.7,0.52,18.85,218.0,42.0,107.0,10.0,34.0,D
320,1348.0,3.3,0.4,37.0,294.0,35.0,94.0,8.0,32.0,D
321,1360.0,4.0,0.41,20.9,205.0,30.5,102.0,8.0,51.0,D
322,1360.0,4.0,0.41,20.9,205.0,30.5,102.0,8.0,21.0,D
323,1296.0,4.1,0.4,37.0,294.0,35.0,94.0,8.0,32.0,D
324,2235.0,5.0,0.35,48.8,350.0,30.0,104.0,8.0,16.0,D
325,2235.0,5.0,0.35,48.8,350.0,30.0,104.0,8.0,5.0,D
326,2640.0,5.0,0.35,43.0,320.0,30.0,104.0,8.0,41.0,D
327,2588.0,5.0,0.35,43.0,320.0,30.0,104.0,8.0,43.0,D
328,2588.0,5.0,0.35,43.0,320.0,30.0,104.0,8.0,26.0,D
329,2024.0,6.0,0.35,43.0,320.0,30.0,104.0,8.0,35.0,D
330,1949.0,6.0,0.35,48.8,350.0,30.0,104.0,8.0,16.0,D
331,1949.0,6.0,0.35,48.8,350.0,30.0,104.0,8.0,5.0,D
332,2120.0,6.0,0.35,43.0,320.0,30.0,104.0,8.0,22.0,D
333,2120.0,6.0,0.35,43.0,320.0,30.0,104.0,8.0,17.0,D
334,2293.0,6.0,0.35,43.0,320.0,30.0,104.0,8.0,41.0,D
335,2309.0,6.0,0.4,37.2,300.0,36.0,104.0,8.0,13.0,D
336,1272.0,6.0,0.41,20.9,205.0,30.5,102.0,8.0,51.0,D
337,1272.0,6.0,0.41,20.9,205.0,30.5,102.0,8.0,21.0,D
338,2293.0,6.0,0.35,43.0,320.0,30.0,104.0,8.0,43.0,D
339,2293.0,6.0,0.35,43.0,320.0,30.0,104.0,8.0,26.0,D
