,Unnamed: 0,Speed(RPM),Torque(kg.cm),Coil Dia,Coil R,Coil Turn,Core Thick,Core Dia,Poles,Motor_name_idx,label
287,449,1536.0,15.3,0.47,20.6,210.0,41.0,104.0,8.0,25.0,D
288,450,1536.0,15.3,0.47,20.6,210.0,41.0,104.0,8.0,25.0,D
289,451,1019.0,16.0,0.35,43.0,320.0,30.0,104.0,8.0,35.0,D
292,454,1075.0,16.0,0.35,43.0,320.0,30.0,104.0,8.0,22.0,D
293,455,1075.0,16.0,0.35,43.0,320.0,30.0,104.0,8.0,17.0,D
294,456,1144.0,16.0,0.35,43.0,320.0,30.0,104.0,8.0,41.0,D
295,457,1130.0,16.0,0.4,37.2,300.0,36.0,104.0,8.0,13.0,D
296,458,1124.0,16.0,0.35,43.0,320.0,30.0,104.0,8.0,43.0,D
297,459,1124.0,16.0,0.35,43.0,320.0,30.0,104.0,8.0,26.0,D
298,460,1480.0,16.3,0.47,20.6,210.0,41.0,104.0,8.0,1.0,D
299,461,1480.0,16.3,0.47,20.6,210.0,41.0,104.0,8.0,1.0,D
300,462,1480.0,16.3,0.47,20.6,210.0,41.0,104.0,8.0,1.0,D
301,463,1480.0,16.3,0.47,20.6,210.0,41.0,104.0,8.0,25.0,D
302,464,1480.0,16.3,0.47,20.6,210.0,41.0,104.0,8.0,25.0,D
303,465,1480.0,16.3,0.47,20.6,210.0,41.0,104.0,8.0,25.0,D
304,466,968.0,17.0,0.35,43.0,320.0,30.0,104.0,8.0,35.0,D
307,469,1023.0,17.0,0.35,43.0,320.0,30.0,104.0,8.0,22.0,D
308,470,1023.0,17.0,0.35,43.0,320.0,30.0,104.0,8.0,17.0,D
309,471,1098.0,17.0,0.35,43.0,320.0,30.0,104.0,8.0,41.0,D
310,472,1074.0,17.0,0.35,43.0,320.0,30.0,104.0,8.0,43.0,D
311,473,1074.0,17.0,0.35,43.0,320.0,30.0,104.0,8.0,26.0,D
312,474,1411.0,17.3,0.47,20.6,210.0,41.0,104.0,8.0,1.0,D
313,475,1411.0,17.3,0.47,20.6,210.0,41.0,104.0,8.0,1.0,D
314,476,1411.0,17.3,0.47,20.6,210.0,41.0,104.0,8.0,1.0,D
315,477,1411.0,17.3,0.47,20.6,210.0,41.0,104.0,8.0,25.0,D
316,478,1411.0,17.3,0.47,20.6,210.0,41.0,104.0,8.0,25.0,D
317,479,1411.0,17.3,0.47,20.6,210.0,41.0,104.0,8.0,25.0,D
318,480,919.0,18.0,0.35,43.0,320.0,30.0,104.0,8.0,35.0,D
321,483,984.0,18.0,0.35,43.0,320.0,30.0,104.0,8.0,22.0,D
322,484,984.0,18.0,0.35,43.0,320.0,30.0,104.0,8.0,17.0,D
323,485,1056.0,18.0,0.35,43.0,320.0,30.0,104.0,8.0,41.0,D
324,486,1041.0,18.0,0.4,37.2,300.0,36.0,104.0,8.0,13.0,D
325,487,1031.0,18.0,0.35,43.0,320.0,30.0,104.0,8.0,43.0,D
326,488,1031.0,18.0,0.35,43.0,320.0,30.0,104.0,8.0,26.0,D
328,490,1356.0,18.4,0.47,20.6,210.0,41.0,104.0,8.0,1.0,D
329,491,1356.0,18.4,0.47,20.6,210.0,41.0,104.0,8.0,1.0,D
330,492,1356.0,18.4,0.47,20.6,210.0,41.0,104.0,8.0,1.0,D
331,493,1356.0,18.4,0.47,20.6,210.0,41.0,104.0,8.0,25.0,D
332,494,1356.0,18.4,0.47,20.6,210.0,41.0,104.0,8.0,25.0,D
333,495,1356.0,18.4,0.47,20.6,210.0,41.0,104.0,8.0,25.0,D
334,496,825.0,19.0,0.35,43.0,320.0,30.0,104.0,8.0,35.0,D
337,499,931.0,19.0,0.35,43.0,320.0,30.0,104.0,8.0,22.0,D
338,500,931.0,19.0,0.35,43.0,320.0,30.0,104.0,8.0,17.0,D
339,501,1011.0,19.0,0.35,43.0,320.0,30.0,104.0,8.0,41.0,D
340,502,1001.0,19.0,0.4,37.2,300.0,36.0,104.0,8.0,13.0,D
341,503,983.0,19.0,0.35,43.0,320.0,30.0,104.0,8.0,43.0,D
342,504,983.0,19.0,0.35,43.0,320.0,30.0,104.0,8.0,26.0,D
343,505,1286.0,19.4,0.47,20.6,210.0,41.0,104.0,8.0,1.0,D
344,506,1286.0,19.4,0.47,20.6,210.0,41.0,104.0,8.0,1.0,D
345,507,1286.0,19.4,0.47,20.6,210.0,41.0,104.0,8.0,1.0,D
346,508,1286.0,19.4,0.47,20.6,210.0,41.0,104.0,8.0,25.0,D
347,509,1286.0,19.4,0.47,20.6,210.0,41.0,104.0,8.0,25.0,D
348,510,1286.0,19.4,0.47,20.6,210.0,41.0,104.0,8.0,25.0,D
351,513,961.0,20.0,0.35,43.0,320.0,30.0,104.0,8.0,41.0,D
352,514,961.0,20.0,0.4,37.2,300.0,36.0,104.0,8.0,13.0,D
354,516,990.0,20.0,0.41,20.9,205.0,30.5,102.0,8.0,21.0,D
355,517,891.0,20.0,0.35,43.0,320.0,30.0,104.0,8.0,43.0,D
356,518,891.0,20.0,0.35,43.0,320.0,30.0,104.0,8.0,26.0,D
357,519,891.0,22.0,0.4,37.2,300.0,36.0,104.0,8.0,13.0,D
358,520,843.0,23.0,0.4,37.2,300.0,36.0,104.0,8.0,13.0,D
