,Speed(RPM),Torque(kg.cm),Coil Dia,Coil R,Coil Turn,Core Thick,Core Dia,Poles,Motor_name_idx,label
639,1886.0,2.2,0.22,37.0,550.0,13.0,88.0,8.0,27.0,B
640,1886.0,2.2,0.22,37.0,550.0,13.0,88.0,8.0,49.0,B
641,1886.0,2.2,0.22,37.0,550.0,13.0,88.0,8.0,44.0,B
642,2019.0,2.2,0.28,35.6,580.0,11.0,94.0,8.0,6.0,B
643,1975.0,2.3,0.28,35.6,580.0,11.0,94.0,8.0,6.0,B
644,1833.0,2.4,0.22,37.0,550.0,13.0,88.0,8.0,27.0,B
645,1833.0,2.4,0.22,37.0,550.0,13.0,88.0,8.0,49.0,B
646,1833.0,2.4,0.22,37.0,550.0,13.0,88.0,8.0,44.0,B
647,1932.0,2.4,0.28,35.6,580.0,11.0,94.0,8.0,6.0,B
648,1833.0,2.4,0.22,37.0,550.0,13.0,88.0,8.0,28.0,B
649,1833.0,2.4,0.22,37.0,550.0,13.0,88.0,8.0,33.0,B
650,1889.0,2.5,0.28,35.6,580.0,11.0,94.0,8.0,6.0,B
651,1847.0,2.6,0.28,35.6,580.0,11.0,94.0,8.0,6.0,B
653,1778.0,2.7,0.22,37.0,550.0,13.0,88.0,8.0,27.0,B
654,1778.0,2.7,0.22,37.0,550.0,13.0,88.0,8.0,49.0,B
655,1778.0,2.7,0.22,37.0,550.0,13.0,88.0,8.0,44.0,B
656,1806.0,2.7,0.28,35.6,580.0,11.0,94.0,8.0,6.0,B
657,1778.0,2.7,0.22,37.0,550.0,13.0,88.0,8.0,28.0,B
658,1778.0,2.7,0.22,37.0,550.0,13.0,88.0,8.0,33.0,B
659,1765.0,2.8,0.28,35.6,580.0,11.0,94.0,8.0,6.0,B
660,1730.0,2.9,0.22,37.0,550.0,13.0,88.0,8.0,27.0,B
661,1730.0,2.9,0.22,37.0,550.0,13.0,88.0,8.0,49.0,B
662,1730.0,2.9,0.22,37.0,550.0,13.0,88.0,8.0,44.0,B
663,1726.0,2.9,0.28,35.6,580.0,11.0,94.0,8.0,6.0,B
664,1687.0,3.0,0.28,35.6,580.0,11.0,94.0,8.0,6.0,B
665,1681.0,3.1,0.22,37.0,550.0,13.0,88.0,8.0,27.0,B
666,1681.0,3.1,0.22,37.0,550.0,13.0,88.0,8.0,49.0,B
667,1681.0,3.1,0.22,37.0,550.0,13.0,88.0,8.0,44.0,B
668,1648.0,3.1,0.28,35.6,580.0,11.0,94.0,8.0,6.0,B
669,1681.0,3.1,0.22,37.0,550.0,13.0,88.0,8.0,28.0,B
670,1681.0,3.1,0.22,37.0,550.0,13.0,88.0,8.0,33.0,B
671,1611.0,3.2,0.28,35.6,580.0,11.0,94.0,8.0,6.0,B
672,1635.0,3.3,0.22,37.0,550.0,13.0,88.0,8.0,27.0,B
673,1635.0,3.3,0.22,37.0,550.0,13.0,88.0,8.0,49.0,B
674,1635.0,3.3,0.22,37.0,550.0,13.0,88.0,8.0,44.0,B
675,1574.0,3.3,0.28,35.6,580.0,11.0,94.0,8.0,6.0,B
676,1635.0,3.3,0.22,37.0,550.0,13.0,88.0,8.0,28.0,B
677,1635.0,3.3,0.22,37.0,550.0,13.0,88.0,8.0,33.0,B
678,1539.0,3.4,0.28,35.6,580.0,11.0,94.0,8.0,6.0,B
679,1589.0,3.5,0.22,37.0,550.0,13.0,88.0,8.0,27.0,B
680,1589.0,3.5,0.22,37.0,550.0,13.0,88.0,8.0,49.0,B
681,1589.0,3.5,0.22,37.0,550.0,13.0,88.0,8.0,44.0,B
682,1503.0,3.5,0.28,35.6,580.0,11.0,94.0,8.0,6.0,B
683,1589.0,3.5,0.22,37.0,550.0,13.0,88.0,8.0,28.0,B
684,1589.0,3.5,0.22,37.0,550.0,13.0,88.0,8.0,33.0,B
686,1469.0,3.6,0.28,35.6,580.0,11.0,94.0,8.0,6.0,B
687,1535.0,3.7,0.22,37.0,550.0,13.0,88.0,8.0,27.0,B
688,1535.0,3.7,0.22,37.0,550.0,13.0,88.0,8.0,49.0,B
689,1535.0,3.7,0.22,37.0,550.0,13.0,88.0,8.0,44.0,B
690,1435.0,3.7,0.28,35.6,580.0,11.0,94.0,8.0,6.0,B
691,1535.0,3.7,0.22,37.0,550.0,13.0,88.0,8.0,28.0,B
692,1535.0,3.7,0.22,37.0,550.0,13.0,88.0,8.0,33.0,B
693,1403.0,3.8,0.28,35.6,580.0,11.0,94.0,8.0,6.0,B
695,1474.0,3.9,0.22,37.0,550.0,13.0,88.0,8.0,27.0,B
696,1474.0,3.9,0.22,37.0,550.0,13.0,88.0,8.0,49.0,B
697,1474.0,3.9,0.22,37.0,550.0,13.0,88.0,8.0,44.0,B
698,1371.0,3.9,0.28,35.6,580.0,11.0,94.0,8.0,6.0,B
699,1474.0,3.9,0.22,37.0,550.0,13.0,88.0,8.0,28.0,B
700,1474.0,3.9,0.22,37.0,550.0,13.0,88.0,8.0,33.0,B
701,1339.0,4.0,0.28,35.6,580.0,11.0,94.0,8.0,6.0,B
702,1419.0,4.1,0.22,37.0,550.0,13.0,88.0,8.0,27.0,B
703,1419.0,4.1,0.22,37.0,550.0,13.0,88.0,8.0,49.0,B
704,1419.0,4.1,0.22,37.0,550.0,13.0,88.0,8.0,44.0,B
705,1309.0,4.1,0.28,35.6,580.0,11.0,94.0,8.0,6.0,B
706,1419.0,4.1,0.22,37.0,550.0,13.0,88.0,8.0,28.0,B
707,1419.0,4.1,0.22,37.0,550.0,13.0,88.0,8.0,33.0,B
708,1279.0,4.2,0.28,35.6,580.0,11.0,94.0,8.0,6.0,B
709,1328.0,4.3,0.22,37.0,550.0,13.0,88.0,8.0,27.0,B
710,1328.0,4.3,0.22,37.0,550.0,13.0,88.0,8.0,49.0,B
711,1328.0,4.3,0.22,37.0,550.0,13.0,88.0,8.0,44.0,B
712,1250.0,4.3,0.28,35.6,580.0,11.0,94.0,8.0,6.0,B
713,1328.0,4.3,0.22,37.0,550.0,13.0,88.0,8.0,28.0,B
714,1328.0,4.3,0.22,37.0,550.0,13.0,88.0,8.0,33.0,B
