P/No,Watt,Speed(RPM),Torque(kg.cm),Coil Dia,Coil R,Coil Turn,Core Thick,Core Dia,Poles,Torque_division,shape_division
EAU62243916,40,1139,0.1,0.28,56.6,580,11,94,8,0~4,F
EAU62843016,40,1139,0.1,0.28,56.6,580,11,94,8,0~4,F
EAU62843017,40,1139,0.1,0.28,56.6,580,11,94,8,0~4,F
EAU62843028,40,1139,0.1,0.28,56.6,580,11,94,8,0~4,F
EAU62243916,40,1138,0.2,0.28,56.6,580,11,94,8,0~4,F
EAU62843016,40,1138,0.2,0.28,56.6,580,11,94,8,0~4,F
EAU62843017,40,1138,0.2,0.28,56.6,580,11,94,8,0~4,F
EAU62843028,40,1138,0.2,0.28,56.6,580,11,94,8,0~4,F
EAU62243916,40,1137,0.3,0.28,56.6,580,11,94,8,0~4,F
EAU62843016,40,1137,0.3,0.28,56.6,580,11,94,8,0~4,F
EAU62843017,40,1137,0.3,0.28,56.6,580,11,94,8,0~4,F
EAU62843028,40,1137,0.3,0.28,56.6,580,11,94,8,0~4,F
EAU62243916,40,1137,0.4,0.28,56.6,580,11,94,8,0~4,F
EAU62843016,40,1137,0.4,0.28,56.6,580,11,94,8,0~4,F
EAU62843017,40,1137,0.4,0.28,56.6,580,11,94,8,0~4,F
EAU62843028,40,1137,0.4,0.28,56.6,580,11,94,8,0~4,F
EAU62243916,40,1136,0.5,0.28,56.6,580,11,94,8,0~4,F
EAU62843016,40,1136,0.5,0.28,56.6,580,11,94,8,0~4,F
EAU62843017,40,1136,0.5,0.28,56.6,580,11,94,8,0~4,F
EAU62843028,40,1136,0.5,0.28,56.6,580,11,94,8,0~4,F
EAU62243916,40,1135,0.6,0.28,56.6,580,11,94,8,0~4,F
EAU62843016,40,1135,0.6,0.28,56.6,580,11,94,8,0~4,F
EAU62843017,40,1135,0.6,0.28,56.6,580,11,94,8,0~4,F
EAU62843028,40,1135,0.6,0.28,56.6,580,11,94,8,0~4,F
EAU62243916,40,1135,0.7,0.28,56.6,580,11,94,8,0~4,F
EAU62843016,40,1135,0.7,0.28,56.6,580,11,94,8,0~4,F
EAU62843017,40,1135,0.7,0.28,56.6,580,11,94,8,0~4,F
EAU62843028,40,1135,0.7,0.28,56.6,580,11,94,8,0~4,F
EAU62243916,40,1134,0.8,0.28,56.6,580,11,94,8,0~4,F
EAU62843016,40,1134,0.8,0.28,56.6,580,11,94,8,0~4,F
EAU62843017,40,1134,0.8,0.28,56.6,580,11,94,8,0~4,F
EAU62843028,40,1134,0.8,0.28,56.6,580,11,94,8,0~4,F
EAU62243916,40,1133,0.9,0.28,56.6,580,11,94,8,0~4,F
EAU62843016,40,1133,0.9,0.28,56.6,580,11,94,8,0~4,F
EAU62843017,40,1133,0.9,0.28,56.6,580,11,94,8,0~4,F
EAU62843028,40,1133,0.9,0.28,56.6,580,11,94,8,0~4,F
EAU62243916,40,1133,1,0.28,56.6,580,11,94,8,0~4,F
EAU62843016,40,1133,1,0.28,56.6,580,11,94,8,0~4,F
EAU62843017,40,1133,1,0.28,56.6,580,11,94,8,0~4,F
EAU62843028,40,1133,1,0.28,56.6,580,11,94,8,0~4,F
EAU62243916,40,1132,1.1,0.28,56.6,580,11,94,8,0~4,F
EAU62243916,40,1131,1.2,0.28,56.6,580,11,94,8,0~4,F
EAU62843016,40,1131,1.2,0.28,56.6,580,11,94,8,0~4,F
EAU62843017,40,1131,1.2,0.28,56.6,580,11,94,8,0~4,F
EAU62843028,40,1131,1.2,0.28,56.6,580,11,94,8,0~4,F
EAU62243916,40,1131,1.3,0.28,56.6,580,11,94,8,0~4,F
EAU62243916,40,1130,1.4,0.28,56.6,580,11,94,8,0~4,F
EAU62243916,40,1130,1.5,0.28,56.6,580,11,94,8,0~4,F
EAU62243916,40,1129,1.6,0.28,56.6,580,11,94,8,0~4,F
EAU62243916,40,1129,1.7,0.28,56.6,580,11,94,8,0~4,F
EAU62843016,40,1129,1.7,0.28,56.6,580,11,94,8,0~4,F
EAU62843017,40,1129,1.7,0.28,56.6,580,11,94,8,0~4,F
EAU62843028,40,1129,1.7,0.28,56.6,580,11,94,8,0~4,F
EAU62243916,40,1128,1.8,0.28,56.6,580,11,94,8,0~4,F
EAU62243916,40,1127,1.9,0.28,56.6,580,11,94,8,0~4,F
EAU62243916,40,1127,2,0.28,56.6,580,11,94,8,0~4,F
EAU62243916,40,1126,2.1,0.28,56.6,580,11,94,8,0~4,F
EAU62843016,40,1126,2.1,0.28,56.6,580,11,94,8,0~4,F
EAU62843017,40,1126,2.1,0.28,56.6,580,11,94,8,0~4,F
EAU62843028,40,1126,2.1,0.28,56.6,580,11,94,8,0~4,F
EAU62243916,40,1126,2.2,0.28,56.6,580,11,94,8,0~4,F
EAU62243916,40,1125,2.3,0.28,56.6,580,11,94,8,0~4,F
EAU62843016,40,1125,2.3,0.28,56.6,580,11,94,8,0~4,F
EAU62843017,40,1125,2.3,0.28,56.6,580,11,94,8,0~4,F
EAU62843028,40,1125,2.3,0.28,56.6,580,11,94,8,0~4,F
EAU62243916,40,1125,2.4,0.28,56.6,580,11,94,8,0~4,F
EAU62243916,40,1124,2.5,0.28,56.6,580,11,94,8,0~4,F
EAU62243916,40,1123,2.6,0.28,56.6,580,11,94,8,0~4,F
EAU62843016,40,1123,2.6,0.28,56.6,580,11,94,8,0~4,F
EAU62843017,40,1123,2.6,0.28,56.6,580,11,94,8,0~4,F
EAU62843028,40,1123,2.6,0.28,56.6,580,11,94,8,0~4,F
EAU62243916,40,1123,2.7,0.28,56.6,580,11,94,8,0~4,F
EAU62243916,40,1122,2.8,0.28,56.6,580,11,94,8,0~4,F
EAU62843016,40,1122,2.8,0.28,56.6,580,11,94,8,0~4,F
EAU62843017,40,1122,2.8,0.28,56.6,580,11,94,8,0~4,F
EAU62843028,40,1122,2.8,0.28,56.6,580,11,94,8,0~4,F
EAU62243916,40,1121,2.9,0.28,56.6,580,11,94,8,0~4,F
EAU62843016,40,1121,2.9,0.28,56.6,580,11,94,8,0~4,F
EAU62243916,40,1121,3,0.28,56.6,580,11,94,8,0~4,F
EAU62843016,40,1121,3,0.28,56.6,580,11,94,8,0~4,F
EAU62843017,40,1121,3,0.28,56.6,580,11,94,8,0~4,F
EAU62843028,40,1121,3,0.28,56.6,580,11,94,8,0~4,F
EAU62243916,40,1120,3.1,0.28,56.6,580,11,94,8,0~4,F
EAU62243916,40,1119,3.2,0.28,56.6,580,11,94,8,0~4,F
EAU62843016,40,1119,3.2,0.28,56.6,580,11,94,8,0~4,F
EAU62843017,40,1119,3.2,0.28,56.6,580,11,94,8,0~4,F
EAU62843028,40,1119,3.2,0.28,56.6,580,11,94,8,0~4,F
EAU62243916,40,1119,3.3,0.28,56.6,580,11,94,8,0~4,F
EAU62243916,40,1118,3.4,0.28,56.6,580,11,94,8,0~4,F
EAU62843016,40,1118,3.4,0.28,56.6,580,11,94,8,0~4,F
EAU62843017,40,1118,3.4,0.28,56.6,580,11,94,8,0~4,F
EAU62843028,40,1118,3.4,0.28,56.6,580,11,94,8,0~4,F
EAU62243916,40,1117,3.5,0.28,56.6,580,11,94,8,0~4,F
EAU62243916,40,1116,3.6,0.28,56.6,580,11,94,8,0~4,F
EAU62843016,40,1116,3.6,0.28,56.6,580,11,94,8,0~4,F
EAU62843017,40,1116,3.6,0.28,56.6,580,11,94,8,0~4,F
EAU62843028,40,1116,3.6,0.28,56.6,580,11,94,8,0~4,F
EAU62243916,40,1115,3.7,0.28,56.6,580,11,94,8,0~4,F
EAU62843016,40,1115,3.7,0.28,56.6,580,11,94,8,0~4,F
EAU62843017,40,1115,3.7,0.28,56.6,580,11,94,8,0~4,F
EAU62843028,40,1115,3.7,0.28,56.6,580,11,94,8,0~4,F
EAU62243916,40,1114,3.8,0.28,56.6,580,11,94,8,0~4,F
EAU62243916,40,1114,3.9,0.28,56.6,580,11,94,8,0~4,F
EAU62843016,40,1114,3.9,0.28,56.6,580,11,94,8,0~4,F
EAU62843017,40,1114,3.9,0.28,56.6,580,11,94,8,0~4,F
EAU62843028,40,1114,3.9,0.28,56.6,580,11,94,8,0~4,F
EAU62243916,40,1113,4,0.28,56.6,580,11,94,8,0~4,F
EAU62243916,40,1112,4.1,0.28,56.6,580,11,94,8,0~4,F
EAU62843016,40,1112,4.1,0.28,56.6,580,11,94,8,0~4,F
EAU62843017,40,1112,4.1,0.28,56.6,580,11,94,8,0~4,F
EAU62843028,40,1112,4.1,0.28,56.6,580,11,94,8,0~4,F
EAU62243916,40,1111,4.2,0.28,56.6,580,11,94,8,0~4,F
EAU62843016,40,1111,4.2,0.28,56.6,580,11,94,8,0~4,F
EAU62843017,40,1111,4.2,0.28,56.6,580,11,94,8,0~4,F
EAU62843028,40,1111,4.2,0.28,56.6,580,11,94,8,0~4,F
EAU62243916,40,1110,4.3,0.28,56.6,580,11,94,8,0~4,F
EAU62243916,40,1108,4.4,0.28,56.6,580,11,94,8,0~4,F
EAU62843016,40,1108,4.4,0.28,56.6,580,11,94,8,0~4,F
EAU62843017,40,1108,4.4,0.28,56.6,580,11,94,8,0~4,F
EAU62843028,40,1108,4.4,0.28,56.6,580,11,94,8,0~4,F
EAU62243916,40,1107,4.5,0.28,56.6,580,11,94,8,0~4,F
EAU62843016,40,1107,4.5,0.28,56.6,580,11,94,8,0~4,F
EAU62843017,40,1107,4.5,0.28,56.6,580,11,94,8,0~4,F
EAU62843028,40,1107,4.5,0.28,56.6,580,11,94,8,0~4,F
EAU62243916,40,1106,4.6,0.28,56.6,580,11,94,8,0~4,F
EAU62843016,40,1106,4.6,0.28,56.6,580,11,94,8,0~4,F
EAU62843017,40,1106,4.6,0.28,56.6,580,11,94,8,0~4,F
EAU62843028,40,1106,4.6,0.28,56.6,580,11,94,8,0~4,F
EAU62243916,40,1105,4.7,0.28,56.6,580,11,94,8,0~4,F
EAU62843016,40,1105,4.7,0.28,56.6,580,11,94,8,0~4,F
EAU62843017,40,1105,4.7,0.28,56.6,580,11,94,8,0~4,F
EAU62843028,40,1105,4.7,0.28,56.6,580,11,94,8,0~4,F
EAU62243916,40,1104,4.8,0.28,56.6,580,11,94,8,0~4,F
EAU62843016,40,1104,4.8,0.28,56.6,580,11,94,8,0~4,F
EAU62843017,40,1104,4.8,0.28,56.6,580,11,94,8,0~4,F
EAU62843028,40,1104,4.8,0.28,56.6,580,11,94,8,0~4,F
EAU62243916,40,1102,4.9,0.28,56.6,580,11,94,8,0~4,F
EAU62843016,40,1102,4.9,0.28,56.6,580,11,94,8,0~4,F
EAU62843017,40,1102,4.9,0.28,56.6,580,11,94,8,0~4,F
EAU62843028,40,1102,4.9,0.28,56.6,580,11,94,8,0~4,F
EAU62243916,40,1101,5,0.28,56.6,580,11,94,8,0~4,F
EAU62843016,40,1101,5,0.28,56.6,580,11,94,8,0~4,F
EAU62843017,40,1101,5,0.28,56.6,580,11,94,8,0~4,F
EAU62843028,40,1101,5,0.28,56.6,580,11,94,8,0~4,F
EAU62843029,40,403,0.1,0.28,35.6,580,11,94,8,0~4,F
EAU62843030,40,403,0.1,0.28,35.6,580,11,94,8,0~4,F
EAU62843031,40,403,0.1,0.28,35.6,580,11,94,8,0~4,F
EAU62843029,40,402,0.2,0.28,35.6,580,11,94,8,0~4,F
EAU62843030,40,402,0.2,0.28,35.6,580,11,94,8,0~4,F
EAU62843031,40,402,0.2,0.28,35.6,580,11,94,8,0~4,F
EAU62843029,40,401,0.3,0.28,35.6,580,11,94,8,0~4,F
EAU62843030,40,401,0.3,0.28,35.6,580,11,94,8,0~4,F
EAU62843031,40,401,0.3,0.28,35.6,580,11,94,8,0~4,F
EAU62843029,40,400,0.4,0.28,35.6,580,11,94,8,0~4,F
EAU62843030,40,400,0.4,0.28,35.6,580,11,94,8,0~4,F
EAU62843031,40,400,0.4,0.28,35.6,580,11,94,8,0~4,F
EAU62843029,40,399,0.5,0.28,35.6,580,11,94,8,0~4,F
EAU62843030,40,399,0.5,0.28,35.6,580,11,94,8,0~4,F
EAU62843031,40,399,0.5,0.28,35.6,580,11,94,8,0~4,F
EAU62843029,40,399,0.6,0.28,35.6,580,11,94,8,0~4,F
EAU62843030,40,399,0.6,0.28,35.6,580,11,94,8,0~4,F
EAU62843031,40,399,0.6,0.28,35.6,580,11,94,8,0~4,F
EAU62843029,40,398,0.7,0.28,35.6,580,11,94,8,0~4,F
EAU62843030,40,398,0.7,0.28,35.6,580,11,94,8,0~4,F
EAU62843031,40,398,0.7,0.28,35.6,580,11,94,8,0~4,F
EAU62843029,40,397,0.8,0.28,35.6,580,11,94,8,0~4,F
EAU62843030,40,397,0.8,0.28,35.6,580,11,94,8,0~4,F
EAU62843031,40,397,0.8,0.28,35.6,580,11,94,8,0~4,F
EAU62843029,40,396,1,0.28,35.6,580,11,94,8,0~4,F
EAU62843030,40,396,1,0.28,35.6,580,11,94,8,0~4,F
EAU62843031,40,396,1,0.28,35.6,580,11,94,8,0~4,F
EAU62843029,40,396,1.1,0.28,35.6,580,11,94,8,0~4,F
EAU62843030,40,396,1.1,0.28,35.6,580,11,94,8,0~4,F
EAU62843031,40,396,1.1,0.28,35.6,580,11,94,8,0~4,F
EAU62843029,40,395,1.2,0.28,35.6,580,11,94,8,0~4,F
EAU62843030,40,395,1.2,0.28,35.6,580,11,94,8,0~4,F
EAU62843031,40,395,1.2,0.28,35.6,580,11,94,8,0~4,F
EAU62843029,40,394,1.4,0.28,35.6,580,11,94,8,0~4,F
EAU62843030,40,394,1.4,0.28,35.6,580,11,94,8,0~4,F
EAU62843031,40,394,1.4,0.28,35.6,580,11,94,8,0~4,F
EAU62843029,40,394,1.5,0.28,35.6,580,11,94,8,0~4,F
EAU62843030,40,394,1.5,0.28,35.6,580,11,94,8,0~4,F
EAU62843031,40,394,1.5,0.28,35.6,580,11,94,8,0~4,F
EAU62843029,40,393,1.8,0.28,35.6,580,11,94,8,0~4,F
EAU62843030,40,393,1.8,0.28,35.6,580,11,94,8,0~4,F
EAU62843031,40,393,1.8,0.28,35.6,580,11,94,8,0~4,F
EAU62843029,40,391,2.8,0.28,35.6,580,11,94,8,0~4,F
EAU62843030,40,391,2.8,0.28,35.6,580,11,94,8,0~4,F
EAU62843031,40,391,2.8,0.28,35.6,580,11,94,8,0~4,F
EAU62843029,40,390,3.1,0.28,35.6,580,11,94,8,0~4,F
EAU62843030,40,390,3.1,0.28,35.6,580,11,94,8,0~4,F
EAU62843031,40,390,3.1,0.28,35.6,580,11,94,8,0~4,F
EAU62843029,40,389,3.3,0.28,35.6,580,11,94,8,0~4,F
EAU62843030,40,389,3.3,0.28,35.6,580,11,94,8,0~4,F
EAU62843031,40,389,3.3,0.28,35.6,580,11,94,8,0~4,F
EAU62843029,40,389,3.4,0.28,35.6,580,11,94,8,0~4,F
EAU62843030,40,389,3.4,0.28,35.6,580,11,94,8,0~4,F
EAU62843031,40,389,3.4,0.28,35.6,580,11,94,8,0~4,F
EAU62843029,40,388,3.6,0.28,35.6,580,11,94,8,0~4,F
EAU62843030,40,388,3.6,0.28,35.6,580,11,94,8,0~4,F
EAU62843031,40,388,3.6,0.28,35.6,580,11,94,8,0~4,F
EAU62843029,40,388,3.7,0.28,35.6,580,11,94,8,0~4,F
EAU62843030,40,388,3.7,0.28,35.6,580,11,94,8,0~4,F
EAU62843031,40,388,3.7,0.28,35.6,580,11,94,8,0~4,F
EAU62843029,40,387,3.8,0.28,35.6,580,11,94,8,0~4,F
EAU62843030,40,387,3.8,0.28,35.6,580,11,94,8,0~4,F
EAU62843031,40,387,3.8,0.28,35.6,580,11,94,8,0~4,F
EAU62843029,40,386,3.9,0.28,35.6,580,11,94,8,0~4,F
EAU62843030,40,386,3.9,0.28,35.6,580,11,94,8,0~4,F
EAU62843031,40,386,3.9,0.28,35.6,580,11,94,8,0~4,F
EAU62843029,40,386,4,0.28,35.6,580,11,94,8,0~4,F
EAU62843030,40,386,4,0.28,35.6,580,11,94,8,0~4,F
EAU62843031,40,386,4,0.28,35.6,580,11,94,8,0~4,F
EAU62843029,40,385,4.1,0.28,35.6,580,11,94,8,0~4,F
EAU62843030,40,385,4.1,0.28,35.6,580,11,94,8,0~4,F
EAU62843031,40,385,4.1,0.28,35.6,580,11,94,8,0~4,F
EAU62843029,40,384,4.2,0.28,35.6,580,11,94,8,0~4,F
EAU62843030,40,384,4.2,0.28,35.6,580,11,94,8,0~4,F
EAU62843031,40,384,4.2,0.28,35.6,580,11,94,8,0~4,F
EAU62843029,40,383,4.3,0.28,35.6,580,11,94,8,0~4,F
EAU62843030,40,383,4.3,0.28,35.6,580,11,94,8,0~4,F
EAU62843031,40,383,4.3,0.28,35.6,580,11,94,8,0~4,F
EAU62843029,40,382,4.4,0.28,35.6,580,11,94,8,0~4,F
EAU62843030,40,382,4.4,0.28,35.6,580,11,94,8,0~4,F
EAU62843031,40,382,4.4,0.28,35.6,580,11,94,8,0~4,F
EAU62843029,40,381,4.5,0.28,35.6,580,11,94,8,0~4,F
EAU62843030,40,381,4.5,0.28,35.6,580,11,94,8,0~4,F
EAU62843031,40,381,4.5,0.28,35.6,580,11,94,8,0~4,F
EAU62843029,40,380,4.6,0.28,35.6,580,11,94,8,0~4,F
EAU62843030,40,380,4.6,0.28,35.6,580,11,94,8,0~4,F
EAU62843031,40,380,4.6,0.28,35.6,580,11,94,8,0~4,F
EAU62843029,40,379,4.7,0.28,35.6,580,11,94,8,0~4,F
EAU62843030,40,379,4.7,0.28,35.6,580,11,94,8,0~4,F
EAU62843031,40,379,4.7,0.28,35.6,580,11,94,8,0~4,F
EAU62843029,40,378,4.8,0.28,35.6,580,11,94,8,0~4,F
EAU62843030,40,378,4.8,0.28,35.6,580,11,94,8,0~4,F
EAU62843031,40,378,4.8,0.28,35.6,580,11,94,8,0~4,F
EAU62843029,40,376,4.9,0.28,35.6,580,11,94,8,0~4,F
EAU62843030,40,376,4.9,0.28,35.6,580,11,94,8,0~4,F
EAU62843031,40,376,4.9,0.28,35.6,580,11,94,8,0~4,F
EAU62843029,40,375,5,0.28,35.6,580,11,94,8,0~4,F
EAU62843030,40,375,5,0.28,35.6,580,11,94,8,0~4,F
EAU62843031,40,375,5,0.28,35.6,580,11,94,8,0~4,F
