P/No,Watt,Speed(RPM),Torque(kg.cm),Coil Dia,Coil R,Coil Turn,Core Thick,Core Dia,Poles,Torque_division,shape_division
EAU36288424,124,2147,3.1,0.37,45,320,32.5,104,8,1~4,A
EAU62983002,30,1706,3.1,0.25,119.5,550,10,87,8,1~4,A
EAU62983004,30,1706,3.1,0.25,119.5,550,10,87,8,1~4,A
EAU62983010,30,1865,3.1,0.28,60,580,7.5,94,8,1~4,A
EAU62983016,30,1695.4,3.1,0.25,119.5,550,10,87,8,1~4,A
EAU36288424,124,2118,3.2,0.37,45,320,32.5,104,8,1~4,A
EAU62983008,30,1604,3.2,0.25,60,390,10,88,10,1~4,A
EAU62983010,30,1833,3.2,0.28,60,580,7.5,94,8,1~4,A
EAU36288424,124,2090,3.3,0.37,45,320,32.5,104,8,1~4,A
EAU62983002,30,1655,3.3,0.25,119.5,550,10,87,8,1~4,A
EAU62983004,30,1655,3.3,0.25,119.5,550,10,87,8,1~4,A
EAU62983010,30,1804,3.3,0.28,60,580,7.5,94,8,1~4,A
EAU62983016,30,1647.1,3.4,0.25,119.5,550,10,87,8,1~4,A
EAU36288424,124,2061,3.4,0.37,45,320,32.5,104,8,1~4,A
EAU62983008,30,1516,3.4,0.25,60,390,10,88,10,1~4,A
EAU62983010,30,1739,3.4,0.28,60,580,7.5,94,8,1~4,A
4681A20168G,43,1343,3.5,0.25,136.2,630,22,88,8,1~4,A
4681A20168H,43,1396,3.5,0.25,136.2,630,22,88,8,1~4,A
EAU36288424,124,2004,3.5,0.37,45,320,32.5,104,8,1~4,A
EAU61883001,30,2364,3.5,0.28,50.1,420,13,88,8,1~4,A
EAU62983010,30,1686,3.5,0.28,60,580,7.5,94,8,1~4,A
EAU62243920,40,1214,3.6,0.25,82.5,620,13,88,8,1~4,A
EAU36288424,124,1976,3.6,0.37,45,320,32.5,104,8,1~4,A
EAU62983002,30,1604,3.6,0.25,119.5,550,10,87,8,1~4,A
EAU62983004,30,1604,3.6,0.25,119.5,550,10,87,8,1~4,A
EAU62983010,30,1619,3.6,0.28,60,580,7.5,94,8,1~4,A
EAU62983016,30,1590.2,3.6,0.25,119.5,550,10,87,8,1~4,A
