,Speed(RPM),Torque(kg.cm),Coil Dia,Coil R,Coil Turn,Core Thick,Core Dia,Poles,label
181,1837.0,4.1,0.37,45.0,320.0,32.5,104.0,8.0,2.0
182,1102.0,4.1,0.28,60.0,580.0,7.5,94.0,8.0,0.0
183,1810.0,4.2,0.37,45.0,320.0,32.5,104.0,8.0,2.0
184,1783.0,4.4,0.37,45.0,320.0,32.5,104.0,8.0,2.0
185,1177.0,4.5,0.25,136.2,630.0,22.0,88.0,8.0,0.0
186,1035.0,4.6,0.25,82.5,620.0,13.0,88.0,8.0,0.0
187,1730.0,4.6,0.37,45.0,320.0,32.5,104.0,8.0,2.0
188,1678.0,4.9,0.37,45.0,320.0,32.5,104.0,8.0,2.0
189,1108.0,5.0,0.25,136.2,630.0,22.0,88.0,8.0,0.0
190,1139.0,5.0,0.25,136.2,630.0,22.0,88.0,8.0,0.0
191,1678.0,5.0,0.37,45.0,320.0,32.5,104.0,8.0,2.0
192,922.0,5.1,0.25,82.5,620.0,13.0,88.0,8.0,0.0
193,1048.0,5.5,0.25,136.2,630.0,22.0,88.0,8.0,0.0
194,1072.0,5.5,0.25,136.2,630.0,22.0,88.0,8.0,0.0
195,1554.0,5.7,0.37,45.0,320.0,32.5,104.0,8.0,2.0
196,991.0,6.0,0.25,136.2,630.0,22.0,88.0,8.0,0.0
197,1022.0,6.0,0.25,136.2,630.0,22.0,88.0,8.0,0.0
198,941.0,6.5,0.25,136.2,630.0,22.0,88.0,8.0,0.0
199,962.0,6.5,0.25,136.2,630.0,22.0,88.0,8.0,0.0
200,1442.0,6.7,0.37,45.0,320.0,32.5,104.0,8.0,2.0
201,919.0,7.0,0.25,136.2,630.0,22.0,88.0,8.0,0.0
202,896.0,7.1,0.25,136.2,630.0,22.0,88.0,8.0,0.0
203,1400.0,7.3,0.37,45.0,320.0,32.5,104.0,8.0,2.0
204,1379.0,7.6,0.37,45.0,320.0,32.5,104.0,8.0,2.0
205,1358.0,7.7,0.37,45.0,320.0,32.5,104.0,8.0,2.0
206,1358.0,7.9,0.37,45.0,320.0,32.5,104.0,8.0,2.0
207,806.0,9.0,0.25,136.2,630.0,22.0,88.0,8.0,0.0
208,1196.0,10.3,0.37,45.0,320.0,32.5,104.0,8.0,2.0
209,1158.0,11.2,0.37,45.0,320.0,32.5,104.0,8.0,2.0
210,1121.0,12.0,0.37,45.0,320.0,32.5,104.0,8.0,2.0
211,1050.0,13.6,0.37,45.0,320.0,32.5,104.0,8.0,2.0
212,1016.0,14.5,0.37,45.0,320.0,32.5,104.0,8.0,2.0
213,967.0,15.8,0.37,45.0,320.0,32.5,104.0,8.0,2.0
214,927.0,16.6,0.37,45.0,320.0,32.5,104.0,8.0,2.0
215,892.0,17.2,0.37,45.0,320.0,32.5,104.0,8.0,2.0
216,868.0,17.6,0.37,45.0,320.0,32.5,104.0,8.0,2.0
217,837.0,17.8,0.37,45.0,320.0,32.5,104.0,8.0,2.0
218,789.0,18.2,0.37,45.0,320.0,32.5,104.0,8.0,2.0
219,742.0,18.5,0.37,45.0,320.0,32.5,104.0,8.0,2.0
220,703.0,18.7,0.37,45.0,320.0,32.5,104.0,8.0,2.0
221,683.0,18.8,0.37,45.0,320.0,32.5,104.0,8.0,2.0
222,649.0,18.9,0.37,45.0,320.0,32.5,104.0,8.0,2.0
223,616.0,19.0,0.37,45.0,320.0,32.5,104.0,8.0,2.0
224,581.0,19.1,0.37,45.0,320.0,32.5,104.0,8.0,2.0
225,558.0,19.2,0.37,45.0,320.0,32.5,104.0,8.0,2.0
226,2925.0,2.0,0.28,87.0,450.0,26.5,88.0,8.0,0.0
227,1395.0,2.0,0.52,18.85,218.0,42.0,107.0,10.0,2.0
228,1395.0,2.0,0.52,18.85,218.0,42.0,107.0,10.0,2.0
229,2491.0,2.5,0.28,87.0,450.0,26.5,88.0,8.0,0.0
230,3880.0,3.0,0.35,38.0,340.0,21.0,104.0,8.0,2.0
231,3573.0,3.0,0.35,38.0,340.0,21.0,104.0,8.0,2.0
232,2039.0,3.5,0.28,87.0,450.0,26.5,88.0,8.0,0.0
233,3431.0,3.5,0.35,38.0,340.0,21.0,104.0,8.0,2.0
234,3996.0,3.5,0.37,34.2,320.0,21.0,104.0,8.0,2.0
235,3996.0,3.5,0.4,36.6,300.0,32.5,104.0,8.0,2.0
236,3996.0,3.5,0.4,36.6,300.0,32.5,104.0,8.0,2.0
237,3515.0,3.5,0.35,38.0,340.0,21.0,104.0,8.0,2.0
238,3106.0,4.0,0.35,38.0,340.0,21.0,104.0,8.0,2.0
239,3650.0,4.0,0.37,34.2,320.0,21.0,104.0,8.0,2.0
240,1355.0,4.0,0.52,18.85,218.0,42.0,107.0,10.0,2.0
241,1355.0,4.0,0.52,18.85,218.0,42.0,107.0,10.0,2.0
242,3650.0,4.0,0.4,36.6,300.0,32.5,104.0,8.0,2.0
243,3650.0,4.0,0.4,36.6,300.0,32.5,104.0,8.0,2.0
244,3182.0,4.0,0.35,38.0,340.0,21.0,104.0,8.0,2.0
245,2849.0,4.5,0.35,38.0,340.0,21.0,104.0,8.0,2.0
246,3350.0,4.5,0.37,34.2,320.0,21.0,104.0,8.0,2.0
247,3350.0,4.5,0.4,36.6,300.0,32.5,104.0,8.0,2.0
248,3350.0,4.5,0.4,36.6,300.0,32.5,104.0,8.0,2.0
249,2930.0,4.5,0.35,38.0,340.0,21.0,104.0,8.0,2.0
250,2605.0,5.0,0.35,38.0,340.0,21.0,104.0,8.0,2.0
251,3083.0,5.0,0.37,34.2,320.0,21.0,104.0,8.0,2.0
252,3083.0,5.0,0.4,36.6,300.0,32.5,104.0,8.0,2.0
253,3083.0,5.0,0.4,36.6,300.0,32.5,104.0,8.0,2.0
254,2699.0,5.0,0.35,38.0,340.0,21.0,104.0,8.0,2.0
255,2992.0,5.4,0.4,36.6,300.0,32.5,104.0,8.0,2.0
256,2992.0,5.4,0.4,36.6,300.0,32.5,104.0,8.0,2.0
257,1567.0,5.5,0.28,87.0,450.0,26.5,88.0,8.0,0.0
258,2429.0,5.5,0.35,38.0,340.0,21.0,104.0,8.0,2.0
259,2870.0,5.5,0.37,34.2,320.0,21.0,104.0,8.0,2.0
260,2523.0,5.5,0.35,38.0,340.0,21.0,104.0,8.0,2.0
261,1477.0,6.0,0.28,87.0,450.0,26.5,88.0,8.0,0.0
262,1322.0,6.0,0.52,18.85,218.0,42.0,107.0,10.0,2.0
263,1322.0,6.0,0.52,18.85,218.0,42.0,107.0,10.0,2.0
264,2602.0,6.4,0.4,36.6,300.0,32.5,104.0,8.0,2.0
265,2602.0,6.4,0.4,36.6,300.0,32.5,104.0,8.0,2.0
266,1400.0,6.5,0.28,87.0,450.0,26.5,88.0,8.0,0.0
267,2139.0,6.5,0.35,38.0,340.0,21.0,104.0,8.0,2.0
268,2230.0,6.5,0.35,38.0,340.0,21.0,104.0,8.0,2.0
269,2167.0,6.9,0.35,38.0,340.0,21.0,104.0,8.0,2.0
270,1322.0,7.0,0.28,87.0,450.0,26.5,88.0,8.0,0.0
271,2395.0,7.0,0.37,34.2,320.0,21.0,104.0,8.0,2.0
272,1290.0,8.0,0.52,18.85,218.0,42.0,107.0,10.0,2.0
273,1290.0,8.0,0.52,18.85,218.0,42.0,107.0,10.0,2.0
274,2077.0,8.5,0.37,34.2,320.0,21.0,104.0,8.0,2.0
275,1874.0,8.5,0.35,38.0,340.0,21.0,104.0,8.0,2.0
276,2024.0,9.0,0.4,36.6,300.0,32.5,104.0,8.0,2.0
277,2024.0,9.0,0.4,36.6,300.0,32.5,104.0,8.0,2.0
278,1943.0,9.4,0.4,36.6,300.0,32.5,104.0,8.0,2.0
279,1943.0,9.4,0.4,36.6,300.0,32.5,104.0,8.0,2.0
280,1727.0,9.4,0.35,38.0,340.0,21.0,104.0,8.0,2.0
281,1584.0,10.0,0.35,38.0,340.0,21.0,104.0,8.0,2.0
282,1265.0,10.0,0.52,18.85,218.0,42.0,107.0,10.0,2.0
283,1265.0,10.0,0.52,18.85,218.0,42.0,107.0,10.0,2.0
284,1788.0,10.5,0.37,34.2,320.0,21.0,104.0,8.0,2.0
285,1801.0,10.5,0.4,36.6,300.0,32.5,104.0,8.0,2.0
286,1801.0,10.5,0.4,36.6,300.0,32.5,104.0,8.0,2.0
287,1607.0,10.5,0.35,38.0,340.0,21.0,104.0,8.0,2.0
288,1551.0,10.9,0.35,38.0,340.0,21.0,104.0,8.0,2.0
289,1731.0,11.0,0.37,34.2,320.0,21.0,104.0,8.0,2.0
290,1741.0,11.0,0.4,36.6,300.0,32.5,104.0,8.0,2.0
291,1741.0,11.0,0.4,36.6,300.0,32.5,104.0,8.0,2.0
292,1686.0,11.4,0.4,36.6,300.0,32.5,104.0,8.0,2.0
293,1686.0,11.4,0.4,36.6,300.0,32.5,104.0,8.0,2.0
294,1501.0,11.4,0.35,38.0,340.0,21.0,104.0,8.0,2.0
295,1671.0,11.5,0.37,34.2,320.0,21.0,104.0,8.0,2.0
296,1633.0,11.9,0.4,36.6,300.0,32.5,104.0,8.0,2.0
297,1633.0,11.9,0.4,36.6,300.0,32.5,104.0,8.0,2.0
298,1235.0,12.0,0.52,18.85,218.0,42.0,107.0,10.0,2.0
299,1235.0,12.0,0.52,18.85,218.0,42.0,107.0,10.0,2.0
300,1621.0,12.0,0.4,36.6,300.0,32.5,104.0,8.0,2.0
301,1621.0,12.0,0.4,36.6,300.0,32.5,104.0,8.0,2.0
302,1425.0,12.0,0.35,38.0,340.0,21.0,104.0,8.0,2.0
303,1358.0,12.4,0.35,38.0,340.0,21.0,104.0,8.0,2.0
304,1574.0,12.5,0.37,34.2,320.0,21.0,104.0,8.0,2.0
305,1522.0,13.0,0.37,34.2,320.0,21.0,104.0,8.0,2.0
306,1530.0,13.0,0.4,36.6,300.0,32.5,104.0,8.0,2.0
307,1530.0,13.0,0.4,36.6,300.0,32.5,104.0,8.0,2.0
308,1205.0,14.0,0.52,18.85,218.0,42.0,107.0,10.0,2.0
309,1205.0,14.0,0.52,18.85,218.0,42.0,107.0,10.0,2.0
310,1175.0,16.0,0.52,18.85,218.0,42.0,107.0,10.0,2.0
311,1175.0,16.0,0.52,18.85,218.0,42.0,107.0,10.0,2.0
312,1150.0,18.0,0.52,18.85,218.0,42.0,107.0,10.0,2.0
313,1150.0,18.0,0.52,18.85,218.0,42.0,107.0,10.0,2.0
314,1095.0,22.0,0.52,18.85,218.0,42.0,107.0,10.0,2.0
315,1095.0,22.0,0.52,18.85,218.0,42.0,107.0,10.0,2.0
316,1050.0,26.0,0.52,18.85,218.0,42.0,107.0,10.0,2.0
317,1050.0,26.0,0.52,18.85,218.0,42.0,107.0,10.0,2.0
318,1025.0,27.7,0.52,18.85,218.0,42.0,107.0,10.0,2.0
319,1025.0,27.7,0.52,18.85,218.0,42.0,107.0,10.0,2.0
320,1348.0,3.3,0.4,37.0,294.0,35.0,94.0,8.0,2.0
321,1360.0,4.0,0.41,20.9,205.0,30.5,102.0,8.0,2.0
322,1360.0,4.0,0.41,20.9,205.0,30.5,102.0,8.0,2.0
323,1296.0,4.1,0.4,37.0,294.0,35.0,94.0,8.0,2.0
324,2235.0,5.0,0.35,48.8,350.0,30.0,104.0,8.0,2.0
325,2235.0,5.0,0.35,48.8,350.0,30.0,104.0,8.0,2.0
326,2640.0,5.0,0.35,43.0,320.0,30.0,104.0,8.0,2.0
327,2588.0,5.0,0.35,43.0,320.0,30.0,104.0,8.0,2.0
328,2588.0,5.0,0.35,43.0,320.0,30.0,104.0,8.0,2.0
329,2024.0,6.0,0.35,43.0,320.0,30.0,104.0,8.0,2.0
330,1949.0,6.0,0.35,48.8,350.0,30.0,104.0,8.0,2.0
331,1949.0,6.0,0.35,48.8,350.0,30.0,104.0,8.0,2.0
332,2120.0,6.0,0.35,43.0,320.0,30.0,104.0,8.0,2.0
333,2120.0,6.0,0.35,43.0,320.0,30.0,104.0,8.0,2.0
334,2293.0,6.0,0.35,43.0,320.0,30.0,104.0,8.0,2.0
335,2309.0,6.0,0.4,37.2,300.0,36.0,104.0,8.0,2.0
336,1272.0,6.0,0.41,20.9,205.0,30.5,102.0,8.0,2.0
337,1272.0,6.0,0.41,20.9,205.0,30.5,102.0,8.0,2.0
338,2293.0,6.0,0.35,43.0,320.0,30.0,104.0,8.0,2.0
339,2293.0,6.0,0.35,43.0,320.0,30.0,104.0,8.0,2.0
340,1216.0,6.1,0.4,37.0,294.0,35.0,94.0,8.0,2.0
341,1806.0,7.0,0.35,43.0,320.0,30.0,104.0,8.0,2.0
342,1700.0,7.0,0.35,48.8,350.0,30.0,104.0,8.0,2.0
343,1700.0,7.0,0.35,48.8,350.0,30.0,104.0,8.0,2.0
344,1907.0,7.0,0.35,43.0,320.0,30.0,104.0,8.0,2.0
345,1907.0,7.0,0.35,43.0,320.0,30.0,104.0,8.0,2.0
346,2047.0,7.0,0.35,43.0,320.0,30.0,104.0,8.0,2.0
347,2051.0,7.0,0.4,37.2,300.0,36.0,104.0,8.0,2.0
348,2015.0,7.0,0.35,43.0,320.0,30.0,104.0,8.0,2.0
349,2015.0,7.0,0.35,43.0,320.0,30.0,104.0,8.0,2.0
350,1519.0,8.0,0.35,48.8,350.0,30.0,104.0,8.0,2.0
351,1519.0,8.0,0.35,48.8,350.0,30.0,104.0,8.0,2.0
352,1861.0,8.0,0.35,43.0,320.0,30.0,104.0,8.0,2.0
353,1858.0,8.0,0.4,37.2,300.0,36.0,104.0,8.0,2.0
354,1216.0,8.0,0.41,20.9,205.0,30.5,102.0,8.0,2.0
